,Neighborhood,Area,Men,Women,Total,Private households,Average_monthly_income,Men_Proportion,Women_Proportion,Latitude,Longitude,Cluster_Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
0,Ganchinho,11.2,3667.0,3658.0,7325.0,1921.0,767.35,0.5006143344709898,0.49938566552901026,-25.5720763,-49.2636674,7,Steakhouse,Brazilian Restaurant,Housing Development,Park,Fish & Chips Shop,Exhibit,Factory,Farm,Farmers Market,Fast Food Restaurant
1,Sitio Cercado,11.12,50631.0,51779.0,102410.0,27914.0,934.95,0.49439507860560494,0.5056049213943951,-25.5427012,-49.2691056,4,Bakery,Ice Cream Shop,Restaurant,Burger Joint,Smoke Shop,Bistro,Metro Station,Brazilian Restaurant,Garden Center,Park
2,Umbará,22.47,7280.0,7315.0,14595.0,17064.0,908.7,0.4988009592326139,0.5011990407673861,-25.5681693,-49.2856994,4,Video Store,Electronics Store,Bakery,Gym / Fitness Center,Supermarket,Bar,Pizza Place,Flea Market,Flower Shop,Fishing Spot
3,Abranches,4.32,5463.0,5702.0,11165.0,3154.0,1009.67,0.48929690998656516,0.5107030900134348,-25.3614742,-49.272054,6,Motel,Farm,Soccer Field,Yoga Studio,Fish Market,Factory,Farmers Market,Fast Food Restaurant,Fish & Chips Shop,Fishing Spot
4,Atuba,4.27,6156.0,6476.0,12632.0,3627.0,1211.6,0.48733375554148195,0.512666244458518,-25.3875003,-49.2066058,0,Café,Bakery,Hotel,Hardware Store,Brazilian Restaurant,Food Truck,Steakhouse,Sandwich Place,Restaurant,Coffee Shop
5,Bacacheri,6.98,10762.0,12344.0,23106.0,7107.0,3029.0,0.4657664675841773,0.5342335324158227,-25.3968497,-49.2344563,0,Bar,Bakery,Pharmacy,Gym,Hot Dog Joint,Pizza Place,Sandwich Place,Brewery,Fruit & Vegetable Store,Restaurant
6,Bairro Alto,7.02,20244.0,21789.0,42033.0,12071.0,1211.6,0.4816215830418957,0.5183784169581044,-25.4058225,-49.2076602,0,Pizza Place,Hot Dog Joint,BBQ Joint,Pharmacy,Public Art,Restaurant,Sandwich Place,Motorcycle Shop,Tapiocaria,Gift Shop
7,Barreirinha,3.73,8079.0,8942.0,17021.0,5024.0,1272.18,0.4746489630456495,0.5253510369543505,-25.3685642,-49.2604545,4,Bakery,Pizza Place,Pharmacy,Ice Cream Shop,Steakhouse,Grocery Store,Fish & Chips Shop,Park,Restaurant,Deli / Bodega
8,Boa Vista,5.14,13677.0,15714.0,29391.0,9212.0,1817.4,0.46534653465346537,0.5346534653465347,-25.4576591,-48.9292726,0,Yoga Studio,Fish Market,Exhibit,Factory,Farm,Farmers Market,Fast Food Restaurant,Fish & Chips Shop,Fishing Spot,Cosmetics Shop
9,Cachoeira,3.07,3811.0,3927.0,7738.0,2091.0,908.7,0.4925045231325924,0.5074954768674076,-25.3859144,-48.8600193,5,Brazilian Restaurant,Park,Pastelaria,Empanada Restaurant,Exhibit,Factory,Farm,Farmers Market,Fast Food Restaurant,Fish & Chips Shop
10,Pilarzinho,7.13,13358.0,14549.0,27907.0,7883.0,1211.6,0.47866126778227686,0.5213387322177232,-25.3963479,-49.2875575,0,Pizza Place,Hot Dog Joint,Park,Gym / Fitness Center,Pharmacy,Pet Store,Restaurant,Café,Music Venue,Snack Place
11,Santa Cândida,10.33,13504.0,14366.0,27870.0,7937.0,1211.6,0.484535342662361,0.515464657337639,-25.3698739,-49.2305741,0,Motorcycle Shop,Deli / Bodega,Gym / Fitness Center,Big Box Store,Fast Food Restaurant,Restaurant,Flower Shop,Flea Market,Fishing Spot,Event Space
12,São Lourenço,2.26,2611.0,2945.0,5556.0,1603.0,2423.2,0.46994240460763137,0.5300575953923686,-25.3887613,-49.266281,0,Soccer Field,Theater,Bakery,Brazilian Restaurant,Park,Skate Park,Pizza Place,Perfume Shop,Tennis Court,Bar
13,Taboão,1.72,1301.0,1367.0,2668.0,751.0,1009.67,0.4876311844077961,0.5123688155922039,-25.3733813,-49.2807648,0,Snack Place,Plaza,Brazilian Restaurant,Food Truck,Park,Juice Bar,Restaurant,Event Space,Exhibit,Factory
14,Tarumã,4.17,3396.0,3649.0,7045.0,2015.0,3029.0,0.4820440028388928,0.5179559971611072,-25.4243559,-49.2221039,0,Pizza Place,Plaza,Nightclub,Stadium,Racetrack,Sandwich Place,Bus Stop,Farmers Market,Event Space,Exhibit
15,Tingui,2.11,5496.0,6068.0,11654.0,3495.0,1615.47,0.4715977346833705,0.5206795949888451,-25.385354,-49.2240749,0,Ice Cream Shop,Pizza Place,History Museum,Bakery,Fast Food Restaurant,Seafood Restaurant,Soccer Field,Brazilian Restaurant,Sandwich Place,Theater
16,Alto Boqueirão,12.11,24824.0,26331.0,51155.0,14301.0,1110.63,0.48527025706187077,0.5147297429381292,-25.532668,-49.2390629,4,Bakery,Hot Dog Joint,Gym / Fitness Center,Pizza Place,Grocery Store,Supermarket,Arts & Crafts Store,Train Station,Farmers Market,Event Space
17,Boqueirão,14.8,33158.0,35337.0,68495.0,19750.0,1413.53,0.48409372946930435,0.5159062705306957,-25.500728,-49.2411054,4,Bakery,Pizza Place,Hot Dog Joint,Pharmacy,Brazilian Restaurant,Furniture / Home Store,Gym / Fitness Center,Pet Store,Sandwich Place,Shopping Mall
18,Hauer,4.02,6581.0,7270.0,13851.0,4240.0,1615.47,0.4751281495920872,0.5248718504079127,-25.4786086,-49.2534651,0,Brazilian Restaurant,Fast Food Restaurant,Pizza Place,BBQ Joint,Restaurant,Bakery,Dessert Shop,Cosmetics Shop,Convenience Store,Plaza
19,Xaxim,8.92,26747.0,27944.0,54691.0,15482.0,1211.6,0.48905670037117627,0.5109432996288238,-25.5008748,-49.2678646,4,Bakery,Gym / Fitness Center,Pizza Place,Snack Place,Burger Joint,Gym,Hot Dog Joint,Plaza,Fast Food Restaurant,Restaurant
20,Cajuru,11.55,43727.0,46057.0,89784.0,14301.0,793.75,0.4870244141495144,0.5129755858504856,-25.4533496,-49.2130027,4,Pizza Place,Gymnastics Gym,Bakery,Gym / Fitness Center,Bar,Grocery Store,Market,Lottery Retailer,Bus Station,Restaurant
21,Capão da Imbuia,3.16,9933.0,11043.0,20976.0,6209.0,1147.78,0.47354118993135014,0.5264588100686499,-25.4372102,-49.2120387,4,Pizza Place,Bakery,Ice Cream Shop,Gym / Fitness Center,Pharmacy,Bar,Brazilian Restaurant,Hot Dog Joint,Food Court,Gym
22,Guabirotuba,2.63,5029.0,5649.0,10678.0,3068.0,1720.98,0.4709683461322345,0.5290316538677655,-25.4624958,-49.2433392,0,Brazilian Restaurant,Japanese Restaurant,Pharmacy,Bakery,Plaza,Beer Store,Bistro,Lottery Retailer,Boutique,Martial Arts Dojo
23,Jd. das Américas,3.87,6699.0,7267.0,13966.0,3937.0,2304.19,0.47966490047257626,0.5203350995274237,-25.4536246,-49.2305768,0,Brazilian Restaurant,Hot Dog Joint,Italian Restaurant,Pharmacy,Bar,Gym / Fitness Center,Churrascaria,Burger Joint,Café,Fast Food Restaurant
